source,unit,value,count,ratio
tokenized_pedal1,tokens,82,15491,0.005183339166583574
tokenized_pedal1,tokens,83,15621,0.005226837590936802
tokenized_pedal1,tokens,84,14851,0.0049691930774599866
tokenized_pedal1,tokens,85,14534,0.00486312384269096
tokenized_pedal1,tokens,86,14715,0.004923687033521224
tokenized_pedal1,tokens,87,14645,0.0049002648050233315
tokenized_pedal1,tokens,88,13681,0.004577707258280929
tokenized_pedal1,tokens,89,12355,0.004134023329877997
tokenized_pedal1,tokens,90,13037,0.004362222756100319
tokenized_pedal1,tokens,91,12985,0.004344823386359028
tokenized_pedal1,tokens,92,12010,0.004018585203709814
tokenized_pedal1,tokens,93,11660,0.0039014740612203515
tokenized_pedal1,tokens,94,11716,0.0039202118440186656
tokenized_pedal1,tokens,95,11661,0.003901808664484607
tokenized_pedal1,tokens,96,11356,0.0037997546688866477
tokenized_pedal1,tokens,97,9858,0.003298518979031752
tokenized_pedal1,tokens,98,10320,0.003453105687117841
tokenized_pedal1,tokens,99,9523,0.003186426885506124
tokenized_pedal1,tokens,100,9463,0.003166350689650788
tokenized_pedal1,tokens,101,9017,0.0030171176337927884
tokenized_pedal1,tokens,102,8541,0.0028578464800071202
tokenized_pedal1,tokens,103,8341,0.0027909258271559996
tokenized_pedal1,tokens,104,8460,0.0028307436156024164
tokenized_pedal1,tokens,105,8058,0.0026962331033716634
tokenized_pedal1,tokens,106,7592,0.0025403079822285514
tokenized_pedal1,tokens,107,7500,0.0025095244819170357
tokenized_pedal1,tokens,108,6921,0.0023157891919130405
tokenized_pedal1,tokens,109,6606,0.0022103891636725253
tokenized_pedal1,tokens,110,6563,0.002196001223309534
tokenized_pedal1,tokens,111,5913,0.001978509101543391
tokenized_pedal1,tokens,112,5944,0.001988881802735315
tokenized_pedal1,tokens,113,5634,0.0018851547908160773
tokenized_pedal1,tokens,114,5094,0.0017044690281180508
tokenized_pedal1,tokens,115,4920,0.0016462480601375754
tokenized_pedal1,tokens,116,4841,0.0016198144022613826
tokenized_pedal1,tokens,117,4259,0.0014250753024646207
tokenized_pedal1,tokens,118,4304,0.0014401324493561228
tokenized_pedal1,tokens,119,4339,0.001451843563605069
tokenized_pedal1,tokens,120,3004,0.0010051482058238367
tokenized_pedal1,tokens,121,3626,0.001213271436190823
tokenized_pedal1,tokens,122,3113,0.0010416199616276977
tokenized_pedal1,tokens,123,2745,0.0009184859603816351
tokenized_pedal1,tokens,124,11604,0.003882736278422038
tokenized_pedal1,tokens,125,10805,0.0036153882702818097
