file,interval_index,event_sequence_index,slot_assignment,event_type,absolute_tick,absolute_time_sec,tau,previous_cc64,new_cc64,source_cc_event_index,ioi_duration_bin
2-0.mid,68,0,1,DOWN,23459,31.32876140625,0.28405797101449304,62,64,496,250-500ms
2-0.mid,71,0,1,UP,23756,31.725395625,0.1555555555555538,69,61,503,100-250ms
2-0.mid,73,0,1,DOWN,24119,32.21017078125,0.19904076738608617,63,65,508,500-1000ms
2-0.mid,75,0,1,UP,24489,32.70429421875,0.014669926650364458,65,45,515,>=1000ms
2-0.mid,75,1,2,DOWN,24741,33.04083234375,0.3227383863080636,62,64,520,>=1000ms
2-0.mid,76,0,1,UP,25297,33.78335296875,0.005524861878452227,64,54,531,250-500ms
2-0.mid,76,1,2,DOWN,25460,34.001034375,0.4558011049723822,62,64,535,250-500ms
2-0.mid,77,0,1,UP,26001,34.72352296875,0.9247311827956964,66,63,548,250-500ms
2-0.mid,80,0,1,DOWN,26268,35.080093125,0.5982658959537575,63,65,553,250-500ms
2-0.mid,81,0,1,UP,26424,35.28842625,0.05044510385757459,64,63,562,250-500ms
2-0.mid,86,0,1,DOWN,27648,36.92304,0.43112244897958946,61,64,570,500-1000ms
2-0.mid,87,0,1,UP,27952,37.3290225,0.18925233644859477,64,62,588,500-1000ms
2-0.mid,89,0,1,DOWN,28471,38.02213078125,0.45576407506702393,58,64,593,250-500ms
2-0.mid,92,0,1,UP,29026,38.7633159375,0.8125000000000415,66,57,602,<100ms
2-0.mid,94,0,1,DOWN,29322,39.1586146875,0.7349726775956272,63,65,609,250-500ms
2-0.mid,96,0,1,UP,29805,39.80364609375,0.8571428571427269,64,37,620,<100ms
2-0.mid,97,0,1,DOWN,29953,40.00129546875,0.4074074074074063,59,64,623,250-500ms
2-0.mid,103,0,1,UP,30539,40.78388015625,0.006153846153845147,66,60,633,250-500ms
2-0.mid,104,0,1,DOWN,30961,41.34744796875,0.2804532577903561,63,64,644,250-500ms
2-0.mid,107,0,1,UP,31287,41.78281078125,0.057471264367807307,65,60,662,250-500ms
2-0.mid,108,0,1,DOWN,31635,42.24755390625,0.13888888888886836,63,64,673,100-250ms
