scope,file,method,boundaries,class,ioi_count,ioi_proportion_among_on_iois,on_duration_sec,on_duration_proportion,representative_time_weighted_median_cc64
per_file,17-7.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,630,0.20710059171597633,24.6145833333333,0.13513088481278665,83.0
per_file,17-7.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2412,0.7928994082840237,157.53906250000003,0.8648691151872134,127.0
per_file,17-7.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-8.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,1453,0.44556884391291013,90.08306758749978,0.39624609947742295,94.0
per_file,17-8.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,1808,0.5544311560870898,137.2581420958336,0.603753900522577,127.0
per_file,17-8.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-9.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,569,0.18438107582631239,25.011994218750154,0.12950222302123526,84.0
per_file,17-9.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2517,0.8156189241736876,168.12750281249993,0.8704977769787647,127.0
per_file,17-9.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-10.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,458,0.14651311580294304,25.845326718750137,0.11277249127386993,84.0
per_file,17-10.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2668,0.853486884197057,203.33580093749998,0.8872275087261301,127.0
per_file,17-10.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-11.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,458,0.14651311580294304,25.845326718750137,0.11277249127386993,84.0
per_file,17-11.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2668,0.853486884197057,203.33580093749998,0.8872275087261301,127.0
per_file,17-11.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-12.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,586,0.16718972895863052,28.73175284791671,0.13038524566319867,92.0
per_file,17-12.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2919,0.8328102710413695,191.6287081979167,0.8696147543368014,127.0
per_file,17-12.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-13.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,1112,0.35663887107119946,67.1967810937502,0.3035478363687924,88.0
per_file,17-13.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2006,0.6433611289288005,154.1745253124999,0.6964521636312077,127.0
per_file,17-13.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-14.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,1124,0.3015830426616582,57.8044293749998,0.24252272039624723,83.0
per_file,17-14.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2603,0.6984169573383419,180.54202031250034,0.7574772796037529,127.0
per_file,17-14.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-15.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,657,0.18814432989690721,30.19761937499994,0.1287025021059578,80.0
per_file,17-15.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2835,0.8118556701030928,204.4335562500003,0.8712974978940423,127.0
per_file,17-15.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-16.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,948,0.3076923076923077,51.15913687499986,0.25764535763526886,79.0
per_file,17-16.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2133,0.6923076923076923,147.40503421874985,0.7423546423647311,127.0
per_file,17-16.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,18-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,1406,0.4634146341463415,238.06119791666848,0.49290291620723553,87.0
per_file,18-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,1628,0.5365853658536586,244.91666666666524,0.5070970837927645,127.0
per_file,18-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,19-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,529,0.7256515775034293,75.89968749999989,0.6090047215110836,75.0
per_file,19-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,200,0.27434842249657065,48.72937500000003,0.39099527848891635,127.0
per_file,19-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,19-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,636,0.7842170160295932,98.47531249999997,0.6694717028432065,76.0
per_file,19-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,175,0.2157829839704069,48.618749999999906,0.3305282971567934,127.0
per_file,19-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,20-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,874,0.7289407839866555,53.43744656250024,0.696065128900952,78.0
per_file,20-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,325,0.27105921601334443,23.333309999999877,0.30393487109904815,127.0
per_file,20-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,20-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,454,0.32638389647735444,27.079299843749954,0.286337640330438,75.0
per_file,20-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,937,0.6736161035226456,67.49191968750004,0.713662359669562,127.0
per_file,20-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,20-2.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,85,0.8173076923076923,7.565163374999976,0.6840224111282809,77.0
per_file,20-2.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,19,0.18269230769230768,3.494654625000045,0.3159775888717191,127.0
per_file,20-2.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,20-3.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,1178,0.663661971830986,87.8938757812501,0.6393965006363367,97.0
per_file,20-3.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,597,0.3363380281690141,49.569929062499966,0.3606034993636633,127.0
per_file,20-3.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,20-4.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,1095,0.9186241610738255,71.3941593750001,0.87843833185448,76.0
per_file,20-4.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,97,0.08137583892617449,9.879797812500103,0.12156166814552004,127.0
per_file,20-4.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,21-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,231,0.046553808948004836,26.635924218750077,0.065692180506105,83.0
per_file,21-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,4731,0.9534461910519951,378.829749375,0.9343078194938951,127.0
per_file,21-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,21-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,231,0.046553808948004836,26.635924218750077,0.065692180506105,83.0
per_file,21-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,4731,0.9534461910519951,378.829749375,0.9343078194938951,127.0
per_file,21-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,21-2.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,231,0.046553808948004836,26.635924218750077,0.065692180506105,83.0
per_file,21-2.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,4731,0.9534461910519951,378.829749375,0.9343078194938951,127.0
per_file,21-2.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
